index,block_type,block,layer_name,ks_h,ks_w,ks_if,ks_of,if_h,if_w,if_ch,of_h,of_w,of_ch,stride,pad_l,pad_r,pad_h,pad_b,input_layer,ops,params,row_size(index),ks_row_size(index),wt(4index),(ps)conv,(ps)mean,pl(conv),pl(dconv)
75,,,blk13_conv4_1s1_sm,1,1,32,672,1,1,32,16,16,672,1,,,,,72,5505024,22176,0,0,0,215040,0,0,0
76,,,blk13_conv5_1s1_add,1,1,672,112,16,16,672,16,16,112,1,,,,,70,19267584,75376,0.1640625,0.1640625,0.287109375,0,0,0,19267584
77,,blk14,blk14_conv1_1s1_sm,1,1,112,672,16,16,112,16,16,672,1,,,,,,19267584,75936,0.02734375,0.02734375,0.287109375,0,0,0,19267584
78,,,blk14_depconv2_3s1_sm,3,3,672,1,16,16,672,16,16,672,1,1,1,1,1,,1548288,6720,0.1640625,0.4921875,0.023071289,0,0,1548288,0
79,,,blk14_mean,,,,,16,16,672,1,1,672, ,,,,,,0,0,0,0,0,0,174720,0,0
80,,,blk14_conv3_1s1_sm,1,1,672,32,1,1,672,1,1,32,1,,,,,,21504,21536,0,0,0,43008,0,0,0
81,,,blk14_conv4_1s1_sm,1,1,32,672,1,1,32,16,16,672,1,,,,,78,5505024,22176,0,0,0,215040,0,0,0
82,,,blk14_conv5_1s1_add,1,1,672,112,16,16,672,16,16,112,1,,,,,76,19267584,75376,0.1640625,0.1640625,0.287109375,0,0,0,19267584
83,,blk15,blk15_conv1_1s1_sm,1,1,112,672,16,16,112,16,16,672,1,,,,,,19267584,75936,0.02734375,0.02734375,0.287109375,0,0,0,19267584
84,,,blk15_depconv2_3s1_sm,3,3,672,1,16,16,672,16,16,672,1,1,1,1,1,,1548288,6720,0.1640625,0.4921875,0.023071289,0,0,1548288,0
85,,,blk15_mean,,,,,16,16,672,1,1,672, ,,,,,,0,0,0,0,0,0,174720,0,0
86,,,blk15_conv3_1s1_sm,1,1,672,32,1,1,672,1,1,32,1,,,,,,21504,21536,0,0,0,43008,0,0,0
87,,,blk15_conv4_1s1_sm,1,1,32,672,1,1,32,16,16,672,1,,,,,84,5505024,22176,0,0,0,215040,0,0,0
88,,,blk15_conv5_1s1_add,1,1,672,112,16,16,672,16,16,112,1,,,,,82,19267584,75376,0.1640625,0.1640625,0.287109375,0,0,0,19267584
89,,blk16,blk16_conv1_1s1_sm,1,1,112,672,16,16,112,16,16,672,1,,,,,,19267584,75936,0.02734375,0.02734375,0.287109375,0,0,0,19267584
90,,,blk16_depconv2_3s1_sm,3,3,672,1,16,16,672,16,16,672,1,1,1,1,1,,1548288,6720,0.1640625,0.4921875,0.023071289,0,0,1548288,0
91,,,blk16_mean,,,,,16,16,672,1,1,672, ,,,,,,0,0,0,0,0,0,174720,0,0
92,,,blk16_conv3_1s1_sm,1,1,672,32,1,1,672,1,1,32,1,,,,,,21504,21536,0,0,0,43008,0,0,0
